sample_name,included,matches_filter,order_number,sample_date,description
SiGS i injeksjon,No,No,NO2514216,2025-05-28,Sillica Greenstone
Siste utlekkingsprøve Høviktoppen pel. 8760,Yes,Yes,NO2503280,2025-02-12,Bunnrenskprøver testes for Benzen.
Slam 24/08,No,No,NO2317370,2023-08-24,Slam fra slambassenget under avvikling. Prøve tatt samme dag som slambilen leverte slammet til Fossum.
Slam 9010,No,No,NO2418537,2024-08-21,Slam 9010
Slam fra E103 uke24,No,No,NO2312593,2023-06-13,Slam fra renseanlegget. Prøve tatt samme dag som slambilen leverte slammet til Fossum.
Slamprøve Fossum/Slamprøver E103,No,No,NO2428300,2024-11-27,Slamprøver av ferdig behandlet og sedimentert slam. Fortsatt vannholdig.
Slamprøve verksted 09.04.24,No,No,NO2407319,2024-04-09,Fra to ulike rister
Sprengstein 05/09,No,No,NO2420262,2024-09-05,Sprengsteinsprøve før Hypex
Sprengstein 12.09,No,No,NO2420902,2024-09-12,Sprengstein
Sprengstein 21.08.23,No,No,NO2317216,2023-08-21,
Sprengstein Pel 9160,Yes,Yes,NO2303449,2023-02-15,
Sprøytebetong,No,No,NO2511039,2025-04-29,Uttak av sprøytebetong kloss for å sjekke kvarts innhold
System W blanding,No,No,NO2500903,2025-01-15,
System W blanding 24t,No,No,NO2501013,2025-01-16,
Tankanlegg Esso sør,No,No,NO2314861,2023-07-10,Avgrensende prøve - benzen forurensning
Tankanlegg Esso øst,No,No,NO2307680,2023-04-17,"Tatt i VA 4 - ved knekk. Rett øst forprøvetankingspunkt ""Tankanlegg Esso""., som hadde benzen forurensning TK5. Tatt rundt 1 meter ned, før avstivning. Fyllmasser"
"Testforsøk SiGS, vanlig injeksjons sement",No,No,NO2514566,2025-06-03,Injeksjonssement som testes for utlekking av krom
Utlekkingsprøve dag 1,No,No,NO2500702,2025-01-13,Bunnrenskprøve fra tunell på E103.
Utlekkingsprøve dag 3,No,No,NO2500893,2025-01-15,Bunnrenskmasser som testes for Benzen.
VA - trasse ved Esso,No,No,NO2223402,2022-11-10,
VA -4 - KG 25 - V,No,No,NO2305568,2023-03-16,Prøve tatt rett vest for KG 25 i VA  trasseen.  1 meter ned.
VA-4-KG25-Ø,No,No,NO2306164,2023-03-23,Mellom KG25 og prøvetatt forurensning.
VA-4-KG26-Ø,No,No,NO2305568,2023-03-16,Prøve for masser øst for KG 26.Mellomlagrede  masser i forbindelse med spunting i retning nord vest for KG 26.
VA-trasee 4: del 3,No,No,NO2220942,2022-10-05,Fyllmasse fra VA-trasee 4
VA-trasee 4: del 3 (kolonnetest),No,No,NO2220942,2022-10-05,L/S=0.1
VL 8210,No,No,NO2508496,2025-04-07,"Bunnrensk VL 8210, tverrsnitt"
VL 8260,No,No,NO2508496,2025-04-07,"Bunnrensk VL 8260, tverrsnitt"
"VL 8735  1-2m, 29/1",No,No,NO2502067,2025-01-29,Utlufting av bunnrensk
